VDS	IDS_VGS_m44	IDS_VGS_m39	IDS_VGS_m34
0.00E+000	0	0	0
1.00E-001	7.3131569031	8.4875160768	9.6976400847
2.00E-001	12.9274626768	15.0353753479	17.2172904463
3.00E-001	17.0362614674	19.8518753668	22.7781251598
4.00E-001	19.8517407999	23.1705288903	26.6317743543
5.00E-001	21.6077081311	25.2534282575	29.0664733266
6.00E-001	22.5612660893	26.3932179308	30.409481594
7.00E-001	22.9927388689	26.912775115	31.0265543802
8.00E-001	23.2018272772	27.1606012353	31.3164489027
9.00E-001	23.3923294727	27.3833394202	31.5729850552
1.00E+000	23.5827620983	27.6059919259	31.8294179502
1.10E+000	23.7731251986	27.8285588098	32.08574766
1.20E+000	23.9634188182	28.0510401296	32.3419742568
1.30E+000	24.1536430015	28.2734359425	32.5980978124
1.40E+000	24.343797793	28.4957463061	32.8541183991
1.50E+000	24.5338832371	28.7179712775	33.1100360887
1.60E+000	24.7238993782	28.9401109141	33.365850953
1.70E+000	24.9138462606	29.162165273	33.6215630639
1.80E+000	25.1037239286	29.3841344114	33.8771724929
1.90E+000	25.2935324264	29.6060183864	34.1326793119
2.00E+000	25.4832717983	29.8278172551	34.3880835923
2.10E+000	25.6729420883	30.0495310744	34.6433854057
2.20E+000	25.8625433407	30.2711599012	34.8985848234
2.30E+000	26.0520755996	30.4927037925	35.1536819168
2.40E+000	26.2415389088	30.714162805	35.4086767572
2.50E+000	26.4309333126	30.9355369956	35.6635694158
2.60E+000	26.6202588547	31.1568264208	35.9183599637
2.70E+000	26.8095155792	31.3780311375	36.173048472
2.80E+000	26.99870353	31.5991512021	36.4276350117
2.90E+000	27.1878227508	31.8201866713	36.6821196538
3.00E+000	27.3768732855	32.0411376015	36.936502469
3.10E+000	27.5658551778	32.2620040491	37.1907835281
3.20E+000	27.7547684714	32.4827860706	37.444962902
3.30E+000	27.9436132101	32.7034837223	37.6990406611
3.40E+000	28.1323894375	32.9240970605	37.9530168762
3.50E+000	28.3210971971	33.1446261413	38.2068916176
3.60E+000	28.5097365326	33.365071021	38.4606649558
3.70E+000	28.6983074874	33.5854317556	38.7143369612
3.80E+000	28.886810105	33.8057084013	38.9679077041
3.90E+000	29.075244429	34.0259010141	39.2213772547
4.00E+000	29.2636105026	34.2460096498	39.4747456831
4.10E+000	29.4519083692	34.4660343644	39.7280130595
4.20E+000	29.6401380722	34.6859752137	39.9811794538
4.30E+000	29.8282996548	34.9058322536	40.234244936
4.40E+000	30.0163931603	35.1256055398	40.4872095759
4.50E+000	30.2044186319	35.3452951279	40.7400734434
4.60E+000	30.3923761128	35.5649010737	40.9928366082
4.70E+000	30.580265646	35.7844234326	41.24549914
4.80E+000	30.7680872747	36.0038622602	41.4980611083
4.90E+000	30.9558410418	36.223217612	41.7505225828
5.00E+000	31.1435269905	36.4424895434	42.0028836327
