P_in	Gain	V_out	V_out_2H	V_out_3H
-3.00000000000000000E1	1.38589421784956100E1	-1.61410578215043850E1	-8.25579796609155990E1	-1.18301242865653020E2
-2.89999999999999990E1	1.38588314913822200E1	-1.51411685086177750E1	-8.05562443402879150E1	-1.15300047634668350E2
-2.79999999999999980E1	1.38586921134481430E1	-1.41413078865518570E1	-7.85540595020233920E1	-1.12298542528792520E2
-2.70000000000000020E1	1.38585165976514930E1	-1.31414834023485060E1	-7.65513086521291350E1	-1.09296647192227580E2
-2.60000000000000010E1	1.38582955580784460E1	-1.21417044419215550E1	-7.45478450593850720E1	-1.06294260279425660E2
-2.50000000000000000E1	1.38580171615595440E1	-1.11419828384404520E1	-7.25434838956363670E1	-1.03291254024001940E2
-2.39999999999999990E1	1.38576664840890860E1	-1.01423335159109130E1	-7.05379923114954010E1	-1.00287467294881760E2
-2.29999999999999980E1	1.38572246946048530E1	-9.14277530539514770E0	-6.85310769029125130E1	-9.72826967871026940E1
-2.20000000000000020E1	1.38566680181181350E1	-8.14333198188186460E0	-6.65223678768593630E1	-9.42766858364533360E1
-2.10000000000000010E1	1.38559664153225200E1	-7.14403358467748010E0	-6.45113990218607650E1	-9.12691101783815380E1
-2.00000000000000000E1	1.38550818963787430E1	-6.14491810362125430E0	-6.24975823423564680E1	-8.82595597645327600E1
-1.89999999999999990E1	1.38539663594887230E1	-5.14603364051127880E0	-6.04801758794370240E1	-8.52475154702933580E1
-1.80000000000000000E1	1.38525588081550800E1	-4.14744119184492280E0	-5.84582428063415980E1	-8.22323191063500050E1
-1.70000000000000000E1	1.38507817477117290E1	-3.14921825228827150E0	-5.64305992798260280E1	-7.92131346161798260E1
-1.60000000000000010E1	1.38485364870412010E1	-2.15146351295880220E0	-5.43957477286879690E1	-7.61888975051943080E1
-1.50000000000000000E1	1.38456969587367060E1	-1.15430304126329370E0	-5.23517910905020840E1	-7.31582483720811450E1
-1.39999999999999990E1	1.38421015041225530E1	-1.57898495877448750E-1	-5.02963218671991810E1	-7.01194445884239850E1
-1.30000000000000000E1	1.38375418077194530E1	8.37541807719450300E-1	-4.82262773823222090E1	-6.70702414175997760E1
-1.20000000000000000E1	1.38317477500586670E1	1.83174775005866940E0	-4.61377487791882060E1	-6.40077293377770930E1
-1.10000000000000010E1	1.38243662410661770E1	2.82436624106617630E0	-4.40257231630993310E1	-6.09280991235440970E1
-1.00000000000000000E1	1.38149310320037570E1	3.81493103200375660E0	-4.18837398757548930E1	-5.78263446219072550E1
-9.00000000000000000E0	1.38028180697489810E1	4.80281806974898200E0	-3.97033883952985980E1	-5.46957445907997640E1
-8.00000000000000000E0	1.37871774359966310E1	5.78717743599663240E0	-3.74735920886151150E1	-5.15271506139973920E1
-7.00000000000000000E0	1.37668243817169160E1	6.76682438171691380E0	-3.51794951920132610E1	-4.83077971459864660E1
-6.00000000000000000E0	1.37400545310447870E1	7.74005453104478920E0	-3.28006292161698100E1	-4.50192723196064740E1
-5.00000000000000000E0	1.37005731247820670E1	8.70057312478206950E0	-3.04747616612086510E1	-4.12278297083390570E1
-4.00000000000000000E0	1.36183508179707150E1	9.61835081797071640E0	-2.89804356918784260E1	-3.53827059046784950E1
-3.00000000000000000E0	1.34579438828180510E1	1.04579438828180500E1	-2.81151675094412790E1	-2.90995696907504800E1
-2.00000000000000000E0	1.31738323733201360E1	1.11738323733201320E1	-2.62666099409753070E1	-2.36052297158533400E1
-1.00000000000000000E0	1.26854248992451950E1	1.16854248992451960E1	-2.21329350530677170E1	-1.88865650090930390E1
0.00000000000000000E0	1.20425312285885930E1	1.20425312285885980E1	-1.86873587333514250E1	-1.57770870637380380E1
1.00000000000000000E0	1.13557328928456800E1	1.23557328928456790E1	-1.63600179106728950E1	-1.33166681033779070E1
2.00000000000000000E0	1.06165321005413380E1	1.26165321005413380E1	-1.46447851509896720E1	-1.16953522316534600E1
3.00000000000000000E0	9.81493919713655320E0	1.28149391971365520E1	-1.34515155575607850E1	-1.05536894515619650E1
4.00000000000000000E0	8.99207464936564450E0	1.29920746493656440E1	-1.27583070566230750E1	-9.65831582220264910E0
5.00000000000000000E0	8.17358497131627710E0	1.31735849713162770E1	-1.27443442720714020E1	-9.20306034899816080E0
6.00000000000000000E0	7.34530775638510390E0	1.33453077563851030E1	-1.28118263255392330E1	-8.83973434279818800E0
7.00000000000000000E0	6.50887433259204680E0	1.35088743325920470E1	-1.28190419030886100E1	-8.46297569983845220E0
8.00000000000000000E0	5.65753650412011670E0	1.36575365041201200E1	-1.28015011938990320E1	-8.16127602880132490E0
9.00000000000000000E0	4.80543325020308740E0	1.38054332502030850E1	-1.29432740029100790E1	-7.98731678153549750E0
1.00000000000000000E1	3.96991425298182680E0	1.39699142529818280E1	-1.33707626602231570E1	-7.98418894030837830E0
1.10000000000000010E1	3.12780166388819760E0	1.41278016638882000E1	-1.36011990794214510E1	-7.99454158295067430E0
1.20000000000000000E1	2.28422346799571230E0	1.42842234679957110E1	-1.36827530007258780E1	-8.02544406462315860E0
1.30000000000000000E1	1.44344627519523170E0	1.44434462751952310E1	-1.36422668227006700E1	-8.08068784273361730E0
1.39999999999999990E1	6.07714099290603830E-1	1.46077140992906030E1	-1.34743205007765840E1	-8.15419500705258220E0
1.50000000000000000E1	-2.21766132434224160E-1	1.47782338675657730E1	-1.31691654906902000E1	-8.23609624258029530E0
