freq	S11	S22	Stability	Gain	Noise
1.5	-1.44145348130591660E0	-4.72074058912739680E0	7.02434061557315200E-1	1.17963421037663910E1	1.36140445522902080E0
1.51	-1.36958839645236270E0	-4.59856135233246200E0	6.56902027576486610E-1	1.18980175541347320E1	1.32845305970704700E0
1.52	-1.30998802193527200E0	-4.48541678660554230E0	6.21737688937878290E-1	1.19897519800559000E1	1.29888726027448300E0
1.53	-1.26121095671467450E0	-4.38083494633587730E0	5.95200005403998400E-1	1.20726324932560750E1	1.27234178719294140E0
1.54	-1.22200408273920540E0	-4.28441697678414800E0	5.75845877985068900E-1	1.21475436643548670E1	1.24852746156533810E0
1.55	-1.19124368014351160E0	-4.19570888723102970E0	5.62465738910777540E-1	1.22154402436841680E1	1.22713057875966960E0
1.56	-1.16796863473254150E0	-4.11434840381970090E0	5.54060612106315280E-1	1.22770190177272640E1	1.20792522065274240E0
1.57	-1.15131213997054680E0	-4.03991691945827030E0	5.49788144297789390E-1	1.23331199887835720E1	1.19064020751452460E0
1.58	-1.14054642428522430E0	-3.97209456936906150E0	5.48956488097125030E-1	1.23842663130312110E1	1.17510465591373880E0
1.59	-1.13500983191621210E0	-3.91050952053234370E0	5.50977009841178500E-1	1.24311899951514170E1	1.16108680173645370E0
1.6	-1.13415346744639710E0	-3.85487534126709170E0	5.55368467858305430E-1	1.24743013683435300E1	1.14845085877968840E0
1.61	-1.13748064986403440E0	-3.80487791731425060E0	5.61719075918885120E-1	1.25142014103623910E1	1.13700936892543810E0
1.62	-1.14457987616614990E0	-3.76026248377389030E0	5.69692573852643850E-1	1.25512236002191950E1	1.12665122312714570E0
1.63	-1.15508284564289940E0	-3.72076769859639530E0	5.78999945464933670E-1	1.25858524570910910E1	1.11722629924779040E0
1.64	-1.16868404860506780E0	-3.68617125095369990E0	5.89405149322043980E-1	1.26183664590741130E1	1.10864201739388800E0
1.65	-1.18511467701242260E0	-3.65625861572876600E0	6.00704928475723140E-1	1.26491459216074280E1	1.10078024052158780E0
1.66	-1.20415121349949760E0	-3.63084011279316290E0	6.12732698299361370E-1	1.26784299888705300E1	1.09356208998266900E0
1.67	-1.22560166564621990E0	-3.60974148102023440E0	6.25345541744742130E-1	1.27065064876605540E1	1.08689690851499530E0
1.68	-1.24930623677697210E0	-3.59280521516612430E0	6.38424914629566760E-1	1.27335919839568050E1	1.08071453925226550E0
1.69	-1.27513219736205460E0	-3.57989104014255140E0	6.51870770973958620E-1	1.27598907236431170E1	1.07494844750337810E0
1.7	-1.30297037851090410E0	-3.57087354041388050E0	6.65598023444293930E-1	1.27856056051474960E1	1.06953451028622370E0
1.71	-1.33273371154235450E0	-3.56564030553612100E0	6.79537467167784830E-1	1.28108648376824300E1	1.06442768534082430E0
1.72	-1.36435360053671490E0	-3.56409790610022000E0	6.93626867298278070E-1	1.28358697028527800E1	1.05956576508393720E0
1.73	-1.39777817777264170E0	-3.56615613154178050E0	7.07819515192541890E-1	1.28606794619414690E1	1.05492311797384100E0
1.74	-1.43297241385039830E0	-3.57175386628342070E0	7.22068774237529180E-1	1.28854986990110640E1	1.05043727398859850E0
